source,original,synonyms
GDSC1,Erlotinib,NSC800097
GDSC1,Erlotinib,S7786
GDSC1,Erlotinib,AKOS000282911
GDSC1,Erlotinib,TOX211122021
GDSC1,Erlotinib,CCG220420
GDSC1,Erlotinib,CS0620
GDSC1,Erlotinib,DB00530
GDSC1,Erlotinib,RO508231
GDSC1,Erlotinib,SB16916
GDSC1,Erlotinib,NCGC0016457403
GDSC1,Erlotinib,NCGC0016457405
GDSC1,Erlotinib,NCGC0016457406
GDSC1,Erlotinib,NCGC0016457414
GDSC1,Erlotinib,NCGC0016457425
GDSC1,Erlotinib,AS35132
GDSC1,Erlotinib,BCB03000783
GDSC1,Erlotinib,BE164419
GDSC1,Erlotinib,HY50896
GDSC1,Erlotinib,SY028059
GDSC1,Erlotinib,AM20090621
GDSC1,Erlotinib,FT0651539
GDSC1,Erlotinib,EN300708808
GDSC1,Erlotinib,K00241
GDSC1,Erlotinib,AB0127395501
GDSC1,Erlotinib,AB0127395502
GDSC1,Erlotinib,AB0127395503
GDSC1,Erlotinib,Q418369
GDSC1,Erlotinib,SR050000014601
GDSC1,Erlotinib,SR050000014602
GDSC1,Erlotinib,SR050000014603
GDSC1,Erlotinib,SR050000014606
GDSC1,Erlotinib,BRDK70401845003047
GDSC1,Erlotinib,Z2588038919
GDSC1,Erlotinib,1429636496
GDSC1,Rapamycin,RAPAMYCIN
GDSC1,Rapamycin,53123889
GDSC1,Rapamycin,AY22989
GDSC1,Rapamycin,I2190A
GDSC1,Rapamycin,NSC226080
GDSC1,Rapamycin,RAPA
GDSC1,Rapamycin,RAPAMMUNE
GDSC1,Rapamycin,RAPAMUNE
GDSC1,Rapamycin,SIIA9268A
GDSC1,Rapamycin,SIROLIMUS
GDSC1,Rapamycin,WY090217
GDSC1,Rapamycin,RAPALIMUS
GDSC1,Rapamycin,SUPRALIMUS
GDSC1,Rapamycin,RAPAMYCINSIROLIMUS
GDSC1,Rapamycin,HYFTOR
GDSC1,Rapamycin,SIROLIMUSUM
GDSC1,Rapamycin,CYPHER
GDSC1,Rapamycin,ANTIBIOTICAY22989
GDSC1,Rapamycin,RAPAMYCINGMP
GDSC1,Rapamycin,FYARRO
GDSC1,Rapamycin,CCRIS9024
GDSC1,Rapamycin,CHEBI9168
GDSC1,Rapamycin,SILA9268A
GDSC1,Rapamycin,W36ZG6FT64
GDSC1,Rapamycin,HSDB7284
GDSC1,Rapamycin,L04AA10
GDSC1,Rapamycin,NPC12G
GDSC1,Rapamycin,SM88COMPONENTSIROLIMUS
GDSC1,Rapamycin,DE109
GDSC1,Rapamycin,UNIIW36ZG6FT64
GDSC1,Rapamycin,DTXSID5023582
GDSC1,Rapamycin,RAPAMYCINIMMUNOSUPPRESSANTDRUG
GDSC1,Rapamycin,NABRAPAMYCINCOMPONENTRAPAMYCIN
GDSC1,Rapamycin,SIROLIMUSMART
GDSC1,Rapamycin,EC6109655
GDSC1,Rapamycin,SIROLIMUSUSPRS
GDSC1,Rapamycin,1R9S12S15R16E18R19R21R23S24E26E28E30S32S35R118DIHYDROXY122S11S3R4R4HYDROXY3METHOXYCYCLOHEXYLPROPAN2YL1930DIMETHOXY151721232935HEXAMETHYL1136DIOXA4AZATRICYCLO3031049HEXATRIACONTA16242628TETRAENE23101420PENTONE
GDSC1,Rapamycin,3S6R7E9R10R12R14S15E17E19E21S23S26R27R34AS927DIHYDROXY32R11S3R4R4HYDROXY3METHOXYCYCLOHEXYLPROPAN2YL1021DIMETHOXY6812142026HEXAMETHYL9101213142122232425262732333434AHEXADECAHYDRO3H2327EPOXYPYRIDO21C14OXAZACYCLOHENTRIACONTINE151128294H6H31HPENTONE
GDSC1,Rapamycin,EVEROLIMUSIMPURITYAEPIMPURITY
GDSC1,Rapamycin,3S6R7E9R10R12R14S15E17E19E21S23S26R27R34AS9101213142122232425262732333434AHEXADECAHYDRO927DIHYDROXY31R21S3R4R4HYDROXY3METHOXYCYCLOHEXYL1METHYLETHYL1021DIMETHOXY6812142026HEXAMETHYL2327EPOXY3HPYRIDO21C14OXAAZACYCLOHENTRIACONTINE151128294H6H31HPENTONE
GDSC1,Rapamycin,DTXCID503582
GDSC1,Rapamycin,PERCEIVA
GDSC1,Rapamycin,1FKB
GDSC1,Rapamycin,1PBK
GDSC1,Rapamycin,NCGC0002130505
GDSC1,Rapamycin,LCPSIRO
GDSC1,Rapamycin,3S6R7E9R10R12R14S15E17E19E21S23S26R27R34AS927DIHYDROXY31R21S3R4R4HYDROXY3METHYLOXYCYCLOHEXYL1METHYLETHYL6812142026HEXAMETHYL1021BISMETHYLOXY9101213142122232425262732333434AHEXADECAHYDRO3H2327EPOXYPYRIDO21C14OXAZACYCLOHENTRIACONTINE151128296H31HPENTONE
GDSC1,Rapamycin,RAP
GDSC1,Rapamycin,RPM
GDSC1,Rapamycin,MFCD00867594
GDSC1,Rapamycin,S1039
GDSC1,Rapamycin,SIROLIMUSINN
GDSC1,Rapamycin,SIROLIMUSJAN
GDSC1,Rapamycin,RAPAMYCINMI
GDSC1,Rapamycin,HUMANBLOODSIROLIMUS
GDSC1,Rapamycin,SIROLIMUSHSDB
GDSC1,Rapamycin,SIROLIMUSUSAN
GDSC1,Rapamycin,SIROLIMUSVANDF
GDSC1,Rapamycin,BIOMOLKI2000084
GDSC1,Rapamycin,SCHEMBL3463
GDSC1,Rapamycin,SIROLIMUSWHODD
GDSC1,Rapamycin,RAPAMYCINSIROLIMUSRAPAMUNE
GDSC1,Rapamycin,BIDDPXR0165
GDSC1,Rapamycin,SIROLIMUSEMAEPAR
GDSC1,Rapamycin,MLS006010168
GDSC1,Rapamycin,SIROLIMUSUSANINNBAN
GDSC1,Rapamycin,GTPL6031
GDSC1,Rapamycin,SIROLIMUSORANGEBOOK
GDSC1,Rapamycin,BDBM36609
GDSC1,Rapamycin,MSR001
GDSC1,Rapamycin,S01XA23
GDSC1,Rapamycin,QFJCIRLUMZQUOTHPLJOQBZSAN
GDSC1,Rapamycin,HMS2089A21
GDSC1,Rapamycin,HMS3403F11
GDSC1,Rapamycin,HMS3884C03
GDSC1,Rapamycin,EXA1044
GDSC1,Rapamycin,AC722
GDSC1,Rapamycin,BDBM50064359
GDSC1,Rapamycin,HY10219G
GDSC1,Rapamycin,AKOS015850976
GDSC1,Rapamycin,AKOS015961618
GDSC1,Rapamycin,CCG100684
GDSC1,Rapamycin,CS0063
GDSC1,Rapamycin,DB00877
GDSC1,Rapamycin,NSC2260804
GDSC1,Rapamycin,NCGC0002130506
GDSC1,Rapamycin,NCGC0002130507
GDSC1,Rapamycin,RAPAMYCINFROMSTREPTOMYCESHYGROSCOPICUS
GDSC1,Rapamycin,AS11687
GDSC1,Rapamycin,HY10219
GDSC1,Rapamycin,SMR004701276
GDSC1,Rapamycin,FYARROSIROLIMUSALBUMINBOUNDPARTICLES
GDSC1,Rapamycin,UNM0000358684
GDSC1,Rapamycin,A275
GDSC1,Rapamycin,CS0626126
GDSC1,Rapamycin,R0097
GDSC1,Rapamycin,RAPAMYCINVETRANALTMANALYTICALSTANDARD
GDSC1,Rapamycin,M02444
GDSC1,Rapamycin,Q32089
GDSC1,Rapamycin,Q201659
GDSC1,Rapamycin,BRDK84937637001040
GDSC1,Rapamycin,BRDK84937637001065
GDSC1,Rapamycin,BRDK89626439001010
GDSC1,Rapamycin,Z2568665260
GDSC1,Rapamycin,RAPAMYCINFROMSTREPTOMYCESHYGROSCOPICUS95HPLCPOWDER
GDSC1,Rapamycin,RAPAMYCINFROMSTREPTOMYCESHYGROSCOPICUSVETECTMREAGENTGRADE95
GDSC1,Rapamycin,1R9S12S15R16E18R19R21R23S24E26E28E30S32S35R118DIHYDROXY121R21S3R4R4HYDROXY3METHOXYCYCLOHEXYL1METHYLETHYL1930DIMETHOXY151721232935HEXAMETHYL1136DIOXA4AZATRICYCLO3031049HEXATRIACONTA16242628TETRAENE23101420PENTAONE
GDSC1,Rapamycin,3S6R7E9R10R12R14S15E17E19E21S23S26R27R34AS9101213142122232425262732333434AHEXADECAHYDRO927DIHYDROXY3
GDSC1,Rapamycin,3S6R7E9R10R12R14S15E17E19E21S23S26R27R34AS9101213142122232425262732333434AHEXADECAHYDRO927DIHYDROXY31R21S3R4R4HYDROXY3METHOXYCYCLOHEXYL1METHYLETHYL1021DIMETHOXY6812142026HEXAMETHYL2327EP
GDSC1,Rapamycin,3S6R7E9R10R12R14S15E17E19E21S23S26R27R34AS49101213142122232425262732333434AHEPTADECAHYDRO927DIHYDROXY31R21S34R4HYDROXY3METHOXYCYCLOHEXYL1METHYLETHYL1021DIMETHOXY6812142026HEXAMETHYL22327EPOXY3HPYRIDO21C14OXAAZACYCLOHENTRIACONTINE151128296H31HPENTONE
GDSC1,Rapamycin,3S6R7E9R10R12R14S15E17E19E21S23S26R27R34AS927DIHYDROXY31R21S3R4R4HYDROXY3METHYLOXYCYCLOHEXYL1METHYLETHYL6812142026HEXAMETHYL1021BISMETHYLOXY9101213142122232425262732333434AHEXADECAHYDRO
GDSC1,Rapamycin,3S6R7E9R10R12R14S15E17E19E21S23S26R27R34AS927DIHYDROXY31R21S3R4R4HYDROXY3METHOXYCYCLOHEXYL1METHYLETHYL1021DIMETHOXY6812142026HEXAMETHYL9101213142122232425262732333434AHEXADECAHYDRO3H2327EPOXYPYRIDO21C14OXAZACYCLOHENTRIACONTINE151128294H6H31HPENTONE
GDSC1,Rapamycin,118DIHYDROXY1224HYDROXY3METHOXYCYCLOHEXYL1METHYLETHYL1930DIMETHOXY151721232935HEXAMETHYL1136DIOXA4AZATRICYCLO3031049HEXATRIACONTA16242628TETRAENE23101420PENTAONERAPAMYCIN
GDSC1,Rapamycin,9101213142122232425262732333434AHEXADECAHYDRO927DIHYDROXY31R21S3R4R4HYDROXY3METHOXYCYCLOHEXYL1METHYLETHYL1021DIMETHOXY6812142026HEXAMETHYL2327EPOXY3HPYRIDO21C14OXAAZACYCLOHENTRIACONTINE15112
GDSC1,Sunitinib,SUNITINIB
GDSC1,Sunitinib,557795194
GDSC1,Sunitinib,SUTENT
GDSC1,Sunitinib,SU11248
GDSC1,Sunitinib,SUNITINIBUM
GDSC1,Sunitinib,SU011248
GDSC1,Sunitinib,SUNITINIBBASE
GDSC1,Sunitinib,N2DIETHYLAMINOETHYL55FLUORO2OXOINDOLIN3YLIDENEMETHYL24DIMETHYL1HPYRROLE3CARBOXAMIDE
GDSC1,Sunitinib,342641945
GDSC1,Sunitinib,ZN2DIETHYLAMINOETHYL55FLUORO2OXOINDOLIN3YLIDENEMETHYL24DIMETHYL1HPYRROLE3CARBOXAMIDE
GDSC1,Sunitinib,N2DIETHYLAMINOETHYL53Z5FLUORO2OXO23DIHYDRO1HINDOL3YLIDENEMETHYL24DIMETHYL1HPYRROLE3CARBOXAMIDE
GDSC1,Sunitinib,SUNITINIBINN
GDSC1,Sunitinib,NSC750690
GDSC1,Sunitinib,UNIIV99T50803M
GDSC1,Sunitinib,CHEBI38940
GDSC1,Sunitinib,HSDB7932
GDSC1,Sunitinib,N2DIETHYLAMINOETHYL5Z5FLUORO2OXO12DIHYDRO3HINDOL3YLIDENEMETHYL24DIMETHYL1HPYRROLE3CARBOXAMIDE
GDSC1,Sunitinib,CHEMBL535
GDSC1,Sunitinib,NSC736511
GDSC1,Sunitinib,V99T50803M
GDSC1,Sunitinib,SUNITINIBFREEBASE
GDSC1,Sunitinib,1HPYRROLE3CARBOXAMIDEN2DIETHYLAMINOETHYL5Z5FLUORO12DIHYDRO2OXO3HINDOL3YLIDENEMETHYL24DIMETHYL
GDSC1,Sunitinib,N2DIETHYLAMINOETHYL5Z5FLUORO12DIHYDRO2OXO3HINDOL3YLIDENEMETHYL24DIMETHYL1HPYRROLE3CARBOXAMIDE
GDSC1,Sunitinib,EN2DIETHYLAMONOETHYL55FLUORO2OXO12DIHYDRO3HINDOLE3YLIDENEMETHYL24DIMETHYL1HPYRROLE3CARBOXAMIDE
GDSC1,Sunitinib,SUNITINIBINNBAN
GDSC1,Sunitinib,NCGC0016463101
GDSC1,Sunitinib,XAMIDE
GDSC1,Sunitinib,MFCD09260778
GDSC1,Sunitinib,C22H27FN4O2
GDSC1,Sunitinib,ZSUNITINIB
GDSC1,Sunitinib,55FLUORO2OXO12DIHYDROINDOL3ZYLIDENEMETHYL24DIMETHYL1HPYRROLE3CARBOXYLICACID2DIETHYLAMINOETHYLAMIDE
GDSC1,Sunitinib,SUTENTFREEBASE
GDSC1,Sunitinib,KS5022
GDSC1,Sunitinib,SUNITINIBMI
GDSC1,Sunitinib,1126641108
GDSC1,Sunitinib,SUNITINIBVANDF
GDSC1,Sunitinib,SCHEMBL8081
GDSC1,Sunitinib,SUNITINIBWHODD
GDSC1,Sunitinib,SUNITINIBEMAEPAR
GDSC1,Sunitinib,BDBM4814
GDSC1,Sunitinib,GTPL5713
GDSC1,Sunitinib,SUTENTSUNITINIBSU11248
GDSC1,Sunitinib,DTXCID9021134
GDSC1,Sunitinib,CHEBI91430
GDSC1,Sunitinib,EXA553
GDSC1,Sunitinib,L01XE04
GDSC1,Sunitinib,WINHZLLDWRZWRTATVHPVEESAN
GDSC1,Sunitinib,BCPP000057
GDSC1,Sunitinib,K00588A
GDSC1,Sunitinib,N2DIETHYLAMINOETHYL5Z5FLUORO2OXO1HINDOL3YLIDENEMETHYL24DIMETHYL1HPYRROLE3CARBOXAMIDE
GDSC1,Sunitinib,HY10255A
GDSC1,Sunitinib,NSC800937
GDSC1,Sunitinib,S7781
GDSC1,Sunitinib,AKOS015908193
GDSC1,Sunitinib,AKOS025312424
GDSC1,Sunitinib,CCG268638
GDSC1,Sunitinib,CS1670
GDSC1,Sunitinib,DB01268
GDSC1,Sunitinib,NCGC0016463102
GDSC1,Sunitinib,NCGC0016463104
GDSC1,Sunitinib,55FLUORO2OXO12DIHYDROINDOLYLIDENEMETHYL24DIMETHYL1HPYRROLE3CARBOXYLICACID2DIETHYLAMINOETHYLAMIDE
GDSC1,Sunitinib,BD164426
GDSC1,Sunitinib,1245TETRAMETHYLPYRROLE3CARBOXAMIDE
GDSC1,Sunitinib,AM20090630
GDSC1,Sunitinib,D08552
GDSC1,Sunitinib,EN300323230
GDSC1,Sunitinib,AB0127397601
GDSC1,Sunitinib,AB0127397602
GDSC1,Sunitinib,AB0127397604
GDSC1,Sunitinib,A822143
GDSC1,Sunitinib,A830806
GDSC1,Sunitinib,Q417542
GDSC1,Sunitinib,SR00000000005
GDSC1,Sunitinib,SR000000000052
GDSC1,Sunitinib,Q27163278
GDSC1,Sunitinib,Z2568722545
GDSC1,Sunitinib,1HPYRROLE3CARBOXAMIDE2DIHYDRO2OXO3HINDOL3YLIDENEMETHYL24DIMETHYL
GDSC1,Sunitinib,N2DIETHYLAMINOETHYL5Z5FLUORO1POUNDNOT2DIHYDRO2OXO3HINDOL3YLIDENEMETHYL2POUNDNOT4DIMETHYL1HPYRROLE3CARBOXAMIDE
GDSC1,Sunitinib,N2DIETHYLAMINOETHYL55FLUORO2OXO1HINDOL3YLIDENEMETHYL24DIMETHYL1HPYRROLE3CARBOXAMIDE
GDSC1,Sunitinib,N2DIETHYLAMINOETHYL55FLUORO2OXO23DIHYDRO1HINDOL3YLIDENEMETHYL24DIMETHYL1HPYRROLE3CARBOXAMIDE
GDSC1,Sunitinib,N2DIETHYLAMINOETHYL5Z5FLUORO2OXO12DIHYDRO3HINDOL3YLIDENEMETHYL24DIMETHYL1HPYRROLE3CARBO
GDSC1,PHA-665752,PHA665752
GDSC1,PHA-665752,477575567
GDSC1,PHA-665752,TCMDC125885
GDSC1,PHA-665752,UNII0VXU5T5R3J
GDSC1,PHA-665752,2R15Z526DICHLOROPHENYLMETHYLSULFONYL12DIHYDRO2OXO3HINDOL3YLIDENEMETHYL24DIMETHYL1HPYRROL3YLCARBONYL21PYRROLIDINYLMETHYLPYRROLIDINE
GDSC1,PHA-665752,0VXU5T5R3J
GDSC1,PHA-665752,RZ526DICHLOROBENZYLSULFONYL335DIMETHYL42PYRROLIDIN1YLMETHYLPYRROLIDINE1CARBONYL1HPYRROL2YLMETHYLENEINDOLIN2ONE
GDSC1,PHA-665752,CHEMBL450786
GDSC1,PHA-665752,CHEBI90197
GDSC1,PHA-665752,2HINDOL2ONE526DICHLOROPHENYLMETHYLSULFONYL335DIMETHYL42R21PYRROLIDINYLMETHYL1PYRROLIDINYLCARBONYL1HPYRROL2YLMETHYLENE13DIHYDRO3Z
GDSC1,PHA-665752,PHA665752HYDRATE
GDSC1,PHA-665752,OYONTEXKYJZFHASSHUPFPWSAN
GDSC1,PHA-665752,SCHEMBL93654
GDSC1,PHA-665752,GTPL5700
GDSC1,PHA-665752,DTXSID30197270
GDSC1,PHA-665752,EXA019
GDSC1,PHA-665752,BCPP000112
GDSC1,PHA-665752,HMS3269N19
GDSC1,PHA-665752,HMS3413B20
GDSC1,PHA-665752,HMS3677B20
GDSC1,PHA-665752,AMY24192
GDSC1,PHA-665752,BDBM50242737
GDSC1,PHA-665752,MFCD07772270
GDSC1,PHA-665752,NSC748798
GDSC1,PHA-665752,NSC766271
GDSC1,PHA-665752,PHA665752WHODD
GDSC1,PHA-665752,AKOS015896678
GDSC1,PHA-665752,CCG264805
GDSC1,PHA-665752,CS0137
GDSC1,PHA-665752,3Z526DICHLOROPHENYLMETHANESULFONYL335DIMETHYL42R2PYRROLIDIN1YLMETHYLPYRROLIDINE1CARBONYL1HPYRROL2YLMETHYLIDENE23DIHYDRO1HINDOL2ONE
GDSC1,PHA-665752,AC30914
GDSC1,PHA-665752,HY11107
GDSC1,PHA-665752,S1070
GDSC1,PHA-665752,A15588
GDSC1,PHA-665752,1Y7008
GDSC1,PHA-665752,J500906
GDSC1,PHA-665752,BRDK95435023001010
GDSC1,PHA-665752,BRDK95435023001101
GDSC1,PHA-665752,Q27088356
GDSC1,PHA-665752,3Z526DICHLOROBENZYLSULFONYL335DIMETHYL42R2PYRROLIDIN1YLMETHYLPYRROLIDIN1YLCARBONYL1HPYRROL2YLMETHYLIDENE13DIHYDRO2HINDOL2ONE
GDSC1,PHA-665752,3Z526DICHLOROPHENYLMETHYLSULFONYL335DIMETHYL42R21PYRROLIDINYLMETHYL1PYRROLIDINYLCARBONYL1HPYRROL2YLMETHYLENE13DIHYDRO2HINDOL2ONE
GDSC1,PHA-665752,3Z526DICHLOROPHENYLMETHANESULFONYL335DIMETHYL42R2PYRROLIDIN1YLMETHYLPYRROLIDIN1YLCARBONYL1HPYRROL2YLMETHYLIDENE23DIHYDRO1HINDOL2ONE
GDSC1,PHA-665752,526DICHLOROPHENYLMETHANESULFONYL3135DIMETHYL4R2PYRROLIDIN1YLMETHYLPYRROLIDINE1CARBONYL1HPYRROL2YLMETHZYLIDENE13DIHYDROINDOL2ONE
GDSC1,MG-132,MG132
GDSC1,MG-132,133407826
GDSC1,MG-132,ZLEULEULEUAL
GDSC1,MG-132,ZLLLAL
GDSC1,MG-132,ZLEULEULEUCINAL
GDSC1,MG-132,ZLLLCHO
GDSC1,MG-132,ZLEULEULEUH
GDSC1,MG-132,CARBOBENZOXYLEUCYLLEUCYLLEUCINAL
GDSC1,MG-132,C26H41N3O5
GDSC1,MG-132,BENZYLS4METHYL1S4METHYL1S4METHYL1OXOPENTAN2YLAMINO1OXOPENTAN2YLAMINO1OXOPENTAN2YLCARBAMATE
GDSC1,MG-132,BENZYLOXYCARBONYLLEUCYLLEUCYLLEUCINEALDEHYDE
GDSC1,MG-132,BENZYLOXYCARBONYLLEULEULEUALDEHYDE
GDSC1,MG-132,BENZYLOXYCARBONYLLEUCYLLEUCYLLEUCINAL
GDSC1,MG-132,CARBOBENZOXYLLEUCINYLLEUCINYLLEUCINALH
GDSC1,MG-132,CBZLEULEULEUH
GDSC1,MG-132,RF1P63GW3K
GDSC1,MG-132,CHEMBL64925
GDSC1,MG-132,CBZLLEULLEULLEUCHO
GDSC1,MG-132,CHEBI75142
GDSC1,MG-132,LLLCPD
GDSC1,MG-132,SNPHENYLMETHOXYCARBONYLLLEUCYLN1FORMYL3METHYLBUTYLLLEUCINAMIDE
GDSC1,MG-132,NBENZYLOXYCARBONYLLLEUCYLN2S4METHYL1OXOPENTAN2YLLLEUCINAMIDE
GDSC1,MG-132,NPHENYLMETHOXYCARBONYLLLEUCYLN1S1FORMYL3METHYLBUTYLLLEUCINAMIDE
GDSC1,MG-132,BRD0970
GDSC1,MG-132,ZLLL
GDSC1,MG-132,SMG132
GDSC1,MG-132,NBENZYLOXYCARBONYLLLEUCYLLLEUCYLLLEUCINAL
GDSC1,MG-132,UNIIRF1P63GW3K
GDSC1,MG-132,CARBOBENZOXYLLEUCYLLLEUCYLLLEUCINAL
GDSC1,MG-132,NBENZYLOXYCARBONYLLLEUCYLN1S1FORMYL3METHYLBUTYLLLEUCINAMIDE
GDSC1,MG-132,1211877369
GDSC1,MG-132,BENZYLN1S3METHYL11S3METHYL12S4METHYL1OXOPENTAN2YLCARBAMOYLBUTYLCARBAMOYLBUTYLCARBAMATE
GDSC1,MG-132,MFCD00674886
GDSC1,MG-132,CBZLEULEULEUCINAL
GDSC1,MG-132,ZLLLH
GDSC1,MG-132,ZLLEULLEULLEUH
GDSC1,MG-132,BSPBIO001310
GDSC1,MG-132,CARBOBENZOXYLEULEULEUCINAL
GDSC1,MG-132,KBIOGR000030
GDSC1,MG-132,KBIOSS000030
GDSC1,MG-132,MLS006011220
GDSC1,MG-132,CBZLLEULLEULLEUH
GDSC1,MG-132,SCHEMBL160925
GDSC1,MG-132,GTPL8616
GDSC1,MG-132,DTXSID3042639
GDSC1,MG-132,BCBCMAP01000028
GDSC1,MG-132,KBIO2000030
GDSC1,MG-132,KBIO2002598
GDSC1,MG-132,KBIO2005166
GDSC1,MG-132,KBIO3000059
GDSC1,MG-132,KBIO3000060
GDSC1,MG-132,BENZYLOXYCARBONYLLEULEULEUCINAL
GDSC1,MG-132,TZYWCYJVHRLUCTVABKMULXSAN
GDSC1,MG-132,BIO2000030
GDSC1,MG-132,BIO2000510
GDSC1,MG-132,HMS1361B12
GDSC1,MG-132,HMS1791B12
GDSC1,MG-132,HMS1989B12
GDSC1,MG-132,HMS3402B12
GDSC1,MG-132,AMY40914
GDSC1,MG-132,EXA1500
GDSC1,MG-132,BDBM50069985
GDSC1,MG-132,HB4135
GDSC1,MG-132,NSC782153
GDSC1,MG-132,PI102
GDSC1,MG-132,S2619
GDSC1,MG-132,AKOS027420457
GDSC1,MG-132,MG132ZLEULEULEUCHO
GDSC1,MG-132,CCG207860
GDSC1,MG-132,CCG208036
GDSC1,MG-132,CS0471
GDSC1,MG-132,COMPOUND5BPMID16686537
GDSC1,MG-132,IDI1033780
GDSC1,MG-132,S10322
GDSC1,MG-132,NCGC0016167901
GDSC1,MG-132,NCGC0016167902
GDSC1,MG-132,NCGC0016167903
GDSC1,MG-132,NCGC0016167904
GDSC1,MG-132,NCGC0016167913
GDSC1,MG-132,ZLEULEULEUAL90HPLC
GDSC1,MG-132,AS55854
GDSC1,MG-132,HY13259
GDSC1,MG-132,SMR002530629
GDSC1,MG-132,SW2197801
GDSC1,MG-132,UNM000011053701
GDSC1,MG-132,A806612
GDSC1,MG-132,Q3272916
GDSC1,MG-132,SR010008645981
GDSC1,MG-132,BRDK60230970001043
GDSC1,MG-132,BRDK60230970001050
GDSC1,MG-132,BRDK60230970001068
GDSC1,MG-132,BRDK60230970001076
GDSC1,MG-132,BRDK60230970001084
GDSC1,MG-132,BRDK60230970001100
GDSC1,MG-132,MG132CAS133407826
GDSC1,MG-132,MG13295BYHPLCCAS133407826
GDSC1,MG-132,LLEUCINAMIDENPHENYLMETHOXYCARBONYLLLEUCYLN1S1FORMYL3METHYLBUTYL
GDSC1,MG-132,LLEUCINAMIDENPHENYLMETHOXYCARBONYLLLEUCYLN1FORMYL3METHYLBUTYLS
GDSC1,MG-132,LLEUCINAMIDENPHENYLMETHOXYCARBONYLLLEUCYLN11S1FORMYL3METHYLBUTYL
GDSC1,MG-132,S4METHYL23PHENYLPROPIONYLAMINOPENTANOICACIDS1S1FORMYL3METHYLBUTYLCARBAMOYL3METHYLBUTYLAMIDE
GDSC1,MG-132,S1S1S1FORMYL3METHYLBUTYLCARBAMOYL3METHYLBUTYLCARBAMOYL3METHYLBUTYLCARBAMICACIDBENZYLESTER
GDSC1,MG-132,1SS1S1FORMYL3METHYLBUTYLCARBAMOYL3METHYLBUTYLCARBAMOYL3METHYLBUTYLCARBAMICACIDBENZYLESTER
GDSC1,MG-132,111FORMYL3METHYLBUTYLCARBAMOYL3METHYLBUTYLCARBAMOYL3METHYLBUTYLCARBAMICACIDBENZYLESTER
GDSC1,MG-132,BENZYLN1S11S11S1FORMYL3METHYLBUTYLCARBAMOYL3METHYLBUTYLCARBAMOYL3METHYLBUTYLCARBAMATE
